js_vx_desire,js_vy_desire,js_OmegaZ_desire,global_x,global_y,global_yaw
1,0,0.228315,8.83134,8.62443,-2.68812
1,0,0.228315,8.81266,8.61365,-2.68192
1,0,0.228315,8.79482,8.6033,-2.67616
1,0,0.228315,8.77733,8.59335,-2.6697
1,0,0.228315,8.75998,8.58317,-2.66241
1,0,0.19604,8.74286,8.57223,-2.65412
1,0,0.19604,8.72604,8.56043,-2.64533
1,0,0.19604,8.70938,8.54804,-2.63666
1,0,0.19604,8.69262,8.53529,-2.62903
1,0,0.19604,8.67564,8.5224,-2.62455
1,0,0.19604,8.65839,8.50985,-2.622
1,0,0.19604,8.64104,8.49692,-2.62352
1,0,0.071862,8.62346,8.48389,-2.62559
1,0,0.071862,8.60575,8.47094,-2.62885
1,0,0.071862,8.58799,8.45827,-2.6336
1,0,0.071862,8.57002,8.44611,-2.63783
1,0,0.071862,8.55155,8.43447,-2.64001
1,0,0.071862,8.53297,8.4231,-2.63962
1,0,0.071862,8.51424,8.41213,-2.63812
1,0,0.0988103,8.49538,8.40152,-2.63683
1,0,0.0988103,8.47647,8.39128,-2.6362
1,0,0.0988103,8.45768,8.38147,-2.63675
1,0,0.0988103,8.43935,8.37201,-2.63933
1,0,0.0988103,8.42149,8.3626,-2.64399
1,0,0.0988103,8.40362,8.35334,-2.64848
1,0,0.0988103,8.38508,8.34472,-2.65056
1,0,0.14895,8.36552,8.3368,-2.65116
1,0,0.14895,8.34491,8.32918,-2.65052
1,0,0.14895,8.32442,8.32112,-2.64971
1,0,0.14895,8.3039,8.31237,-2.64778
1,0,0.14895,8.28283,8.30288,-2.64322
1,0,0.14895,8.26128,8.29289,-2.63665
1,0,0.14895,8.23982,8.28246,-2.63043
1,0,0.24667,8.2189,8.27145,-2.62362
1,0,0.24667,8.19878,8.26035,-2.61748
1,0,0.24667,8.17929,8.24857,-2.6106
1,0,0.24667,8.16047,8.2361,-2.60337
1,0,0.24667,8.14257,8.22342,-2.59691
1,0,0.24667,8.12554,8.21119,-2.59067
1,0,0.24667,8.10885,8.19944,-2.58357
1,0,0.24667,8.09234,8.18755,-2.57569
1,0,0.212915,8.07613,8.17493,-2.56679
1,0,0.212915,8.06028,8.16149,-2.55745
1,0,0.212915,8.04463,8.14746,-2.54826
1,0,0.212915,8.02892,8.13308,-2.54019
1,0,0.212915,8.013,8.11855,-2.53541
1,0,0.212915,7.99678,8.1044,-2.53271
1,0,0.212915,7.9805,8.08987,-2.53402
1,0,0.212915,7.964,8.07526,-2.53585
1,0,0.0726485,7.94738,8.06077,-2.53812
1,0,0.0726485,7.93068,8.04662,-2.54152
1,0,0.0726485,7.91368,8.03298,-2.5452
