js_vx_desire,js_vy_desire,js_OmegaZ_desire,global_x,global_y,global_yaw
1,0,0.735254,13.1408,7.04379,3.13799
1,0,0.908919,13.1226,7.04703,-3.133
1,0,0.908919,13.1031,7.04924,-3.11566
1,0,0.908919,13.0828,7.05068,-3.09739
1,0,0.908919,13.0644,7.05186,-3.08562
1,0,0.908919,13.046,7.05162,-3.06736
1,0,0.908919,13.0286,7.05012,-3.04644
1,0,0.908919,13.0126,7.04802,-3.02408
1,0,0.908919,12.998,7.04575,-3.00174
1,0,0.908919,12.9848,7.04335,-2.98069
1,0,0.847598,12.9726,7.04071,-2.96158
1,0,0.847598,12.961,7.0377,-2.94491
1,0,0.847598,12.9492,7.03421,-2.9296
1,0,0.847598,12.9369,7.03008,-2.91445
1,0,0.847598,12.9243,7.02534,-2.89959
1,0,0.847598,12.9114,7.02009,-2.88473
1,0,0.847598,12.8982,7.01443,-2.86909
1,0,0.847598,12.8849,7.00836,-2.85215
1,0,0.847598,12.871,7.00184,-2.83399
1,0,0.907491,12.8566,6.99482,-2.81524
1,0,0.907491,12.8415,6.98727,-2.79698
1,0,0.907491,12.8255,6.97925,-2.78121
1,0,0.907491,12.8082,6.97089,-2.76966
1,0,0.907491,12.7898,6.96158,-2.76234
1,0,0.907491,12.7718,6.95015,-2.75437
1,0,0.907491,12.7543,6.93996,-2.74384
1,0,0.907491,12.7369,6.93091,-2.73344
1,0,0.907491,12.7206,6.92211,-2.7232
1,0,0.907491,12.7053,6.91333,-2.71334
1,0,0.855433,12.6909,6.90453,-2.70376
1,0,0.855433,12.6771,6.89579,-2.69463
1,0,0.855433,12.6634,6.88716,-2.68544
1,0,0.855433,12.6495,6.87866,-2.67539
1,0,0.855433,12.6349,6.87026,-2.66428
1,0,0.855433,12.6197,6.86215,-2.65322
1,0,0.855433,12.6041,6.8546,-2.64247
1,0,0.855433,12.5886,6.8477,-2.63228
1,0,0.855433,12.573,6.84137,-2.62278
1,0,0.855433,12.5571,6.83543,-2.61335
1,0,0.855433,12.5402,6.82951,-2.60196
1,0,0.855433,12.5222,6.82289,-2.58721
1,0,0.872131,12.5032,6.81466,-2.57026
1,0,0.872131,12.4837,6.8046,-2.55262
1,0,0.872131,12.4643,6.79421,-2.53683
1,0,0.872131,12.4465,6.7851,-2.52377
1,0,0.872131,12.4296,6.77499,-2.50528
1,0,0.872131,12.4142,6.76488,-2.48577
1,0,0.872131,12.4003,6.75515,-2.46634
1,0,0.872131,12.3879,6.74599,-2.44781
1,0,0.872131,12.3765,6.73725,-2.43069
1,0,0.872131,12.3658,6.72865,-2.41505
1,0,0.872131,12.3555,6.71985,-2.40057
1,0,0.076614,12.3451,6.7104,-2.38557
1,0,0.076614,12.3347,6.70034,-2.37666
1,0,0.076614,12.3244,6.68991,-2.37678
1,0,0.076614,12.3143,6.67911,-2.38033
1,0,0.076614,12.3043,6.66776,-2.38281
1,0,0.076614,12.2941,6.65561,-2.38296
1,0,0.076614,12.2833,6.64256,-2.38179
1,0,0.076614,12.2716,6.62867,-2.38084
1,0,0.076614,12.2587,6.61422,-2.38207
1,0,0.076614,12.2445,6.59968,-2.38713
1,0,0.076614,12.2309,6.58456,-2.38961
1,0,0.076614,12.2183,6.57066,-2.3896
1,0,0.509266,12.2043,6.55817,-2.39311
1,0,0.509266,12.1902,6.54646,-2.39393
1,0,0.509266,12.1773,6.53509,-2.38974
1,0,0.509266,12.1658,6.52401,-2.38376
1,0,0.509266,12.1555,6.51339,-2.37893
1,0,0.509266,12.1456,6.5033,-2.37574
1,0,0.509266,12.1355,6.49359,-2.37312
1,0,0.509266,12.1249,6.48402,-2.36996
1,0,0.509266,12.1136,6.47445,-2.36609
1,0,0.509266,12.1015,6.46483,-2.3626
1,0,0.632743,12.0888,6.45541,-2.36021
1,0,0.632743,12.076,6.44638,-2.35802
1,0,0.632743,12.0631,6.4377,-2.35548
1,0,0.632743,12.0498,6.42912,-2.35255
1,0,0.632743,12.0356,6.42021,-2.34787
1,0,0.632743,12.0204,6.4104,-2.3395
1,0,0.632743,12.0047,6.39902,-2.32694
1,0,0.632743,11.9889,6.38611,-2.31293
1,0,0.632743,11.9735,6.37342,-2.30391
1,0,0.632743,11.9595,6.36081,-2.29416
1,0,0.453885,11.9469,6.34742,-2.28148
1,0,0.453885,11.9355,6.33428,-2.26951
1,0,0.453885,11.9253,6.32196,-2.25905
1,0,0.453885,11.9161,6.31052,-2.24929
1,0,0.453885,11.9078,6.29969,-2.23977
1,0,0.453885,11.9003,6.28903,-2.23056
1,0,0.453885,11.8933,6.27815,-2.222
1,0,0.453885,11.8861,6.26656,-2.21332
1,0,0.453885,11.879,6.25417,-2.20437
1,0,0.453885,11.8719,6.24117,-2.19569
1,0,0.453885,11.8648,6.2277,-2.18687
1,0,-0.712918,11.8578,6.21381,-2.1772
1,0,-0.712918,11.8506,6.19948,-2.17471
1,0,-0.712918,11.8429,6.1844,-2.18361
1,0,-0.712918,11.8345,6.16822,-2.19874
1,0,-0.712918,11.8248,6.15118,-2.216
1,0,-0.712918,11.8135,6.13414,-2.23352
1,0,-0.712918,11.8038,6.11777,-2.2363
1,0,-0.712918,11.7939,6.10239,-2.23908
1,0,-0.712918,11.7828,6.0883,-2.25455
1,0,0.427227,11.7711,6.07559,-2.27476
1,0,0.427227,11.7603,6.06389,-2.28579
1,0,0.427227,11.7511,6.05293,-2.28406
1,0,0.427227,11.7429,6.0427,-2.27666
1,0,0.427227,11.7351,6.03324,-2.26926
1,0,0.427227,11.7269,6.02433,-2.26318
1,0,0.427227,11.7181,6.01559,-2.25763
1,0,0.427227,11.7085,6.00675,-2.25242
1,0,0.427227,11.6981,5.99768,-2.24866
1,0,0.427227,11.6871,5.98854,-2.24759
1,0,0.427227,11.6759,5.97961,-2.24877
1,0,0.427227,11.6644,5.97094,-2.25108
1,0,0.395284,11.6526,5.96226,-2.2533
1,0,0.395284,11.6399,5.95317,-2.25376
1,0,0.395284,11.6265,5.94309,-2.25045
1,0,0.395284,11.6129,5.93151,-2.24182
1,0,0.395284,11.5992,5.9187,-2.23161
1,0,0.395284,11.5863,5.90706,-2.22831
1,0,0.395284,11.5747,5.89425,-2.22044
1,0,0.395284,11.5644,5.88084,-2.21164
1,0,0.395284,11.5551,5.86778,-2.20371
1,0,0.395284,11.5465,5.85557,-2.19494
1,0,0.395284,11.5388,5.84422,-2.18489
1,0,-0.114651,11.5319,5.83345,-2.17428
1,0,-0.114651,11.5256,5.82283,-2.16761
1,0,-0.114651,11.5198,5.81197,-2.16712
1,0,-0.114651,11.5141,5.80034,-2.16961
1,0,-0.114651,11.5086,5.78776,-2.17214
1,0,-0.114651,11.5033,5.77451,-2.17437
1,0,-0.114651,11.4979,5.76085,-2.17588
1,0,-0.114651,11.4923,5.74682,-2.17566
1,0,-0.114651,11.4864,5.73231,-2.17372
1,0,-0.114651,11.4802,5.71711,-2.17096
1,0,-0.114651,11.4733,5.70097,-2.16792
1,0,0.312496,11.4653,5.68396,-2.16556
1,0,0.312496,11.4563,5.66651,-2.16262
1,0,0.312496,11.4469,5.64861,-2.15754
1,0,0.312496,11.4398,5.63111,-2.14522
1,0,0.312496,11.431,5.61433,-2.1376
1,0,0.312496,11.4209,5.59798,-2.13295
1,0,0.312496,11.4111,5.58203,-2.13027
1,0,0.312496,11.4026,5.56665,-2.12938
1,0,0.312496,11.3951,5.55201,-2.12915
1,0,0.312496,11.3882,5.53815,-2.12906
1,0,-0.217284,11.3814,5.5249,-2.1288
1,0,-0.217284,11.3741,5.51196,-2.13159
1,0,-0.217284,11.3661,5.49908,-2.13905
1,0,-0.217284,11.3574,5.48605,-2.14879
1,0,-0.217284,11.3481,5.47292,-2.1595
1,0,-0.217284,11.3386,5.46019,-2.16946
1,0,-0.217284,11.329,5.44818,-2.17799
1,0,-0.217284,11.3193,5.43683,-2.1853
1,0,-0.217284,11.3091,5.42578,-2.19172
1,0,-0.217284,11.298,5.41451,-2.19725
1,0,0.711128,11.2856,5.40239,-2.20195
1,0,0.711128,11.2721,5.3889,-2.19871
1,0,0.711128,11.258,5.37365,-2.18443
1,0,0.711128,11.2439,5.35676,-2.1643
1,0,0.711128,11.2301,5.33932,-2.14463
1,0,0.711128,11.2167,5.32412,-2.13453
1,0,0.711128,11.2043,5.30953,-2.12574
1,0,0.711128,11.193,5.29585,-2.11462
1,0,0.711128,11.1827,5.28319,-2.10088
1,0,0.711128,11.1732,5.2713,-2.08553
1,0,0.711128,11.1643,5.25969,-2.07015
1,0,0.711128,11.1559,5.24797,-2.05586
1,0,0.705991,11.1478,5.23571,-2.04277
1,0,0.705991,11.1401,5.2227,-2.03029
1,0,0.705991,11.1328,5.20911,-2.0187
1,0,0.705991,11.126,5.1951,-2.00753
1,0,0.705991,11.1196,5.18072,-1.99589
1,0,0.705991,11.1134,5.16587,-1.98323
1,0,0.705991,11.1074,5.15038,-1.9697
1,0,0.705991,11.1015,5.13408,-1.95626
1,0,0.705991,11.0956,5.11682,-1.94436
1,0,0.705991,11.0893,5.0982,-1.93532
1,0,0.705991,11.0823,5.07789,-1.92987
1,0,-0.943861,11.0748,5.05606,-1.92756
1,0,-0.943861,11.0692,5.0338,-1.93472
1,0,-0.943861,11.0633,5.01313,-1.95213
1,0,-0.943861,11.0567,4.99361,-1.97271
1,0,-0.943861,11.0508,4.97547,-1.99372
1,0,-0.943861,11.0459,4.95861,-2.01578
1,0,-0.943861,11.0419,4.94264,-2.03932
1,0,-0.943861,11.0381,4.92715,-2.06379
1,0,-0.943861,11.0344,4.9117,-2.08699
1,0,-0.943861,11.0302,4.89602,-2.10779
1,0,-0.943861,11.0248,4.88085,-2.12566
1,0,0.510446,11.0182,4.86676,-2.14082
1,0,0.510446,11.0112,4.85388,-2.14282
1,0,0.510446,11.0042,4.84207,-2.12835
1,0,0.510446,10.9968,4.83095,-2.10807
1,0,0.510446,10.9886,4.82,-2.08882
1,0,0.510446,10.9796,4.80853,-2.07163
1,0,0.510446,10.9704,4.7959,-2.05431
1,0,0.510446,10.9616,4.78166,-2.03419
1,0,0.510446,10.9534,4.76592,-2.01206
1,0,0.510446,10.9461,4.74973,-1.99368
1,0,0.510446,10.9397,4.73553,-1.9826
1,0,-0.758498,10.934,4.72149,-1.96942
1,0,-0.758498,10.9284,4.70859,-1.96601
